,Новые,,,,,
,"18-45,%","46-65,%","66-79,%",">80,%","дети,%",ИВЛ
29.12.20,39.2,32.3,12.5,4.6,11.4,539
28.12.20,38.2,30.6,13.8,5.3,12.1,534
27.12.20,40.9,30.3,12.7,5,11.1,552
26.12.20,40.8,30.3,13.3,4.8,10.8,569
25.12.20,39.8,30.8,12.3,4.7,12.4,541
24.12.20,41.8,32.8,11.3,4.8,9.3,504
23.12.20,38.3,32.9,14.3,4.8,9.7,509
22.12.20,38.6,32.1,13.8,4.9,10.6,500
21.12.20,40.4,30.5,12,4.5,12.6,487
20.12.20,39.6,31.9,13.1,4.5,10.9,489
19.12.20,40.9,30.9,12.3,5,10.9,501
18.12.20,41.6,32,11.3,3.9,11.2,483
17.12.20,42.1,30.3,11.5,3.9,12.2,474
16.12.20,42.2,31.7,12.6,4.9,8.6,456
15.12.20,40.3,30.8,11.8,4.2,12.9,419
14.12.20,40.9,30.3,11.8,4.5,12.5,449
13.12.20,41.3,30.8,10.1,4.5,13.3,447
12.12.20,40.5,31.6,12.2,4.2,11.5,475
11.12.20,40.6,32.1,10,4.2,13.1,444
10.12.20,40.4,32.1,11,4,12.5,493
09.12.20,42.5,32.9,10.6,4.5,9.5,451
08.12.20,41.4,32.7,10.8,4.2,10.9,515
07.12.20,40.4,30.9,11.3,4.4,13,468
06.12.20,40.6,31,11.9,4.2,12.3,462
05.12.20,41.6,31.5,11.4,4.3,11.2,456
04.12.20,42.3,31.4,11.1,3.9,11.3,451
03.12.20,42.5,31.6,10.9,4,11,451
02.12.20,41.2,33.6,11.6,4.9,8.7,425
01.12.20,38.3,32,13,4,12.7,431
30.11.20,41.3,30.5,11.5,4.2,12.5,396
29.11.20,42.8,30.7,11.6,3.7,11.2,411
28.11.20,41.2,32.1,11.3,4.2,11.2,419
27.11.20,42.8,31.3,10.9,4.3,10.7,421
26.11.20,41.9,31.9,9.6,4.3,12.3,437
25.11.20,42.5,32.8,12.4,3.8,8.5,440
24.11.20,40,32.2,10.8,4.9,12.1,429
23.11.20,42.3,31.2,10.5,3.9,12.1,429
22.11.20,43.7,30.2,10.2,3.7,12.2,426
21.11.20,43.6,29.1,10.2,3.8,13.3,419
20.11.20,42.2,31.9,8.9,3.4,13.6,423
19.11.20,42.1,29.3,9.8,3.5,15.3,410
18.11.20,43.4,31.3,10.5,3.7,11.1,413
17.11.20,40.9,29,10.4,4,15.7,390
16.11.20,42.1,26.9,9.4,3.2,18.4,373
15.11.20,44.2,29.4,9.6,3.3,13.5,379
14.11.20,42.6,28.7,10,3.5,15.2,385
13.11.20,42.6,29.3,10.1,3.9,14.1,372
12.11.20,43.1,29.1,9,3.5,15.3,371
11.11.20,45.5,29.7,9.7,3.8,11.3,361
10.11.20,43.1,29.1,9.8,3.3,14.7,381
09.11.20,42,29.3,10.1,3.6,15,349
08.11.20,43.8,29,9.6,3.9,13.7,354
07.11.20,44,31.3,9.6,3.9,11.2,367
06.11.20,41.6,30.5,10.2,3.8,13.9,359
05.11.20,43.4,29.4,9.5,3.6,14.1,364
04.11.20,41.6,30.2,11.7,4.2,12.3,367
03.11.20,42.4,28.6,11.6,3.8,13.6,367
02.11.20,45.2,29.6,9.6,3.3,12.3,
01.11.20,45.4,29.2,9.6,3.8,12,
31.10.20,43.7,30,9.8,3.9,12.6,
30.10.20,46.4,31.3,9.4,3.7,9.2,339
29.10.20,42.6,31.3,10.4,4.9,10.8,342
28.10.20,45.2,31.9,10.4,4.3,8.2,323
27.10.20,42.3,29.8,10.6,4.8,12.5,304
26.10.20,43.9,29.3,10.7,4.9,11.2,322
25.10.20,45,30.3,10,4.4,10.3,312
24.10.20,43.2,30.7,11.8,4.8,9.5,299
23.10.20,44.4,30.9,10.8,4.7,9.2,346
22.10.20,43.5,31.4,12,4.6,8.5,343
21.10.20,44.1,31.6,11,4.5,8.8,383
20.10.20,43.1,30.4,10.6,4.5,11.4,323
19.10.20,45.2,31.3,9.5,3.7,10.3,327
18.10.20,42.8,29.3,9.8,4.6,13.5,333
17.10.20,42.9,29.4,10.6,4,13.1,318
16.10.20,41.8,29.4,10.5,4.5,13.8,318
15.10.20,42.4,29.3,11.2,5.1,12,319
14.10.20,42.7,30.5,10.5,4.7,11.6,306
13.10.20,44.7,28.9,11,4.6,10.8,297
12.10.20,45.1,30.5,10,4,10.4,275
11.10.20,43.3,29.6,11.7,4.5,10.9,275
10.10.20,41.6,30.8,12,4.4,11.2,263
09.10.20,40.1,30.5,11.2,5.2,13,250
08.10.20,41.1,31.4,12.1,4.8,10.6,255
07.10.20,40.3,29.4,11.4,5.4,13.5,264
06.10.20,41.2,30.1,11.4,4.8,12.5,253
05.10.20,40.6,27.1,11,5.1,16.2,251
04.10.20,42.7,27.8,11.9,4.9,12.7,247
03.10.20,38.6,31.1,10.6,4.9,14.8,245
02.10.20,42.3,25.9,10.8,4.9,16.1,242
01.10.20,38,31.3,12,5.1,13.6,
30.09.20,38.2,29.2,11.2,5.2,16.2,
29.09.20,37.2,28.2,14.9,5.6,14.1,
28.09.20,39.7,30.1,12.3,5.4,12.5,
27.09.20,42.9,26.6,12.6,5.5,12.4,
26.09.20,38.8,24.4,15.5,8.2,13.1,
25.09.20,40.3,21.9,16.1,7.6,14.1,
24.09.20,41.3,24.1,14.7,5.8,14.1,
23.09.20,42.3,25.7,11.6,6.6,13.8,
22.09.20,43.4,26.5,7.8,7.7,14.6,
21.09.20,40.8,18.2,17.3,9.9,13.8,
20.09.20,46.1,16.5,14.6,9.8,13,
19.09.20,40.2,17.1,21.1,9.2,12.4,
18.09.20,36.1,22.3,20.1,8.9,12.6,
17.09.20,33.7,31.4,14.6,6.4,13.9,
16.09.20,37.3,30.3,14.9,7.9,9.6,
15.09.20,34.3,28.2,17.2,7.6,12.7,
14.09.20,38.1,23.3,19.7,8.8,10.1,
13.09.20,38.5,19.6,18.5,10.7,12.7,
12.09.20,37.8,23.7,16.6,10.6,11.3,
11.09.20,33.2,24.2,22.4,7.2,13,
10.09.20,42.6,32.1,9.1,6.5,9.7,
09.09.20,34,27.4,15.1,8.7,14.8,
08.09.20,46.3,26.1,9.6,7.4,10.6,
07.09.20,46.3,26.1,9.6,7.4,10.6,
06.09.20,41.3,30.5,10.3,5.7,12.2,
05.09.20,42.6,29.5,12.2,6,9.7,
04.09.20,49.6,30.5,12.1,5.9,1.9,
03.09.20,38.8,27.7,11.6,5.7,16.2,
02.09.20,42.4,24.3,9.3,10.4,13.6,
01.09.20,41.9,26.4,10,8.1,13.6,
31.08.20,46.1,24.5,10.5,9.1,9.8,
30.08.20,44.3,26.5,10.2,8.4,10.6,
29.08.20,37.7,26.9,16.5,8.7,10.2,
28.08.20,39.2,24,18.9,9.3,8.6,
27.08.20,42.1,33.3,10.8,6.3,7.5,
26.08.20,47.4,23.1,9.5,8.3,11.7,
25.08.20,38.2,26.1,19.2,9.4,7.1,
24.08.20,48.5,28.4,10.3,6.3,6.5,
23.08.20,50.7,27.1,8,3.7,10.5,
22.08.20,37.5,40.9,13.8,6,1.8,
21.08.20,51,24.6,10,3.9,10.5,
20.08.20,39.2,32.8,12.7,6.7,8.6,
19.08.20,46.5,27.1,14.6,5,6.8,
18.08.20,52.5,24.1,7.8,4,11.6,
17.08.20,46.4,27.1,10,7.5,9,
16.08.20,45.2,26.9,12.3,5.8,9.8,
15.08.20,54.5,27.2,7.6,3.9,6.8,
14.08.20,51.6,25.6,10,5.2,7.6,
13.08.20,48.8,28.5,10,4.9,7.8,
12.08.20,53.4,24.4,8.3,6.8,7.1,
11.08.20,55.6,24.4,7.2,4.5,8.3,
10.08.20,52.5,24.4,9.2,5.1,8.8,
09.08.20,51,25,10.9,5.6,7.5,
08.08.20,53,25.1,8,3.8,10.1,
07.08.20,52.5,22.6,9.6,6.1,9.2,
06.08.20,53.1,24.5,9.2,4,9.2,
05.08.20,49.7,26.1,8.5,4,11.7,
04.08.20,50.5,27,11.5,4.2,6.8,
03.08.20,42.4,32.8,11.8,8.2,4.8,
02.08.20,59.8,23.3,6.9,2.6,7.4,
01.08.20,47.3,30.4,12.3,5.1,4.9,
31.07.20,48.5,26.9,10.9,3.8,9.9,
30.07.20,47.6,28.6,12.8,5.5,5.5,
29.07.20,54.4,23.8,11.8,5.7,4.3,
28.07.20,51.2,24,8.6,8.5,7.7,
27.07.20,49.3,30.7,8.8,3.9,7.3,
26.07.20,49.2,30.6,9.6,3.3,7.3,
25.07.20,50,26.2,11.4,6.7,5.7,
24.07.20,50.1,30.1,9.3,4.3,6.2,
23.07.20,53.9,27.5,6.9,4.3,7.4,
22.07.20,54.4,27,7.8,4.1,6.7,
21.07.20,50.3,24.3,10.1,6.8,8.5,
20.07.20,50,29,9,3.8,8.2,
19.07.20,51.6,27.9,8.5,3.7,8.2,
18.07.20,52.9,28.2,10,4.9,4,
17.07.20,53,24.2,8.5,3.3,11,
16.07.20,48.2,28.5,8.8,6.5,8,
15.07.20,51.3,26.1,9.7,5.1,7.8,
14.07.20,52.9,28.4,9.6,4,5.1,
13.07.20,44.3,32,9,6.4,8.3,
12.07.20,46.5,33,12.7,5.1,2.7,
11.07.20,47,29.6,12.5,4.7,6.2,
10.07.20,45.2,29.5,11.5,5.5,8.3,
09.07.20,42.6,31.4,12.5,3.9,9.6,
08.07.20,39.7,26.9,16.3,7,10.1,
07.07.20,45.5,32.3,9.3,5.4,7.5,
06.07.20,44.2,31.2,13.2,4.2,7.2,
05.07.20,43.5,33.4,12.8,4.6,5.7,
04.07.20,43.5,33.4,12.8,4.6,5.7,
03.07.20,43.4,32.2,10.2,6.8,7.4,
02.07.20,42.9,31.6,11.6,4.2,9.7,
01.07.20,41.9,30.3,10,7.5,10.3,
30.06.20,46.6,29,12,6,6.4,
29.06.20,42.7,31.3,11.9,6.7,7.4,
28.06.20,45.8,27.8,11.5,6.8,8.1,
27.06.20,43.6,33.3,11.9,4.7,6.5,
26.06.20,40.1,33.8,12.6,6,7.5,
25.06.20,40.6,33.2,11.4,8.1,6.7,
24.06.20,43.5,33.4,12.8,4.6,5.7,
23.06.20,42.4,30.7,12.7,6.2,8,
22.06.20,43.3,34.1,10.5,5,7.1,
21.06.20,41.3,32.2,13.4,7.6,5.5,
20.06.20,39.7,33.8,12.1,7.5,6.9,
19.06.20,41.9,35.3,9.7,5.5,7.6,
18.06.20,41.9,35.3,9.7,5.5,7.6,
17.06.20,38.4,34.1,12.3,7,8.2,
16.06.20,39.6,34.5,11.8,6,8.1,
15.06.20,40.8,35.3,10.7,5.9,7.3,
14.06.20,40.8,35.3,10.7,5.9,7.3,
13.06.20,41,36.4,9.8,4.6,8.2,
12.06.20,40.7,36.4,11,6.8,5.2,
11.06.20,41,31.7,11.9,4.9,10.5,
10.06.20,40.6,32.8,11.4,6.6,8.6,
09.06.20,42.2,35.5,9.8,5,7.5,
08.06.20,44.9,32.9,11,5.2,6,
07.06.20,43.7,34.6,9.2,5.4,7.1,
06.06.20,42.3,34.6,10.2,5.5,7.4,
05.06.20,42,33.7,10.3,5,9,
04.06.20,43.8,34.4,9.7,4.2,7.9,
03.06.20,46,32.9,9.5,4.9,6.7,
02.06.20,42.3,33.1,11,6.4,7.2,
01.06.20,43.6,32.7,9.8,6.6,7.3,
31.05.20,40.4,34.9,10.8,5.5,8.4,
30.05.20,39.4,33.9,10.4,4.8,11.5,
29.05.20,42.7,33,10.6,6.7,7,
28.05.20,41,36,10.6,5.9,6.5,
27.05.20,42,33.3,10,6.3,8.4,
26.05.20,42.9,34.2,10.4,5.4,7.1,
25.05.20,43.3,33.2,9.7,5.1,8.7,
24.05.20,41.9,33.8,8.7,5.2,10.4,
23.05.20,40.9,31.6,10.4,5.5,11.6,
22.05.20,43.5,33.5,10.2,5.3,7.5,
21.05.20,42.5,33.4,9.9,5.7,8.5,
20.05.20,40.5,34,10.7,6.2,8.6,
19.05.20,41.9,33.1,10.6,5.9,8.5,
18.05.20,41.2,32.7,11.3,5.8,9,
17.05.20,42.5,33,10.6,5.7,8.2,
16.05.20,42.2,33.3,9.4,4.8,10.3,
15.05.20,39.6,36.8,10.5,6.7,6.4,
14.05.20,42.3,35.7,9,6,7,
13.05.20,41.7,33.3,11,5.4,8.6,
12.05.20,41.3,33.1,10.7,6.1,8.8,
11.05.20,41.7,33,10.4,5.4,9.5,
10.05.20,40.3,35.7,11.3,6.7,6,
09.05.20,42.7,36.7,9.7,5.3,5.6,
08.05.20,45.6,33,9.6,5.5,6.3,
07.05.20,37.9,36.5,11.8,7,6.8,
06.05.20,37.1,36.4,12,7.8,6.7,
05.05.20,46.4,34,7,3.3,9.3,
04.05.20,43,35,11,6.7,4.3,
03.05.20,39.2,36,10,5.5,9.3,
02.05.20,43,35,10,5,7,
01.05.20,40,36.5,10,6.2,7.3,
30.04.20,41.7,36.2,10.8,5.3,6,
29.04.20,39,38,10.2,5.3,7.5,
28.04.20,42.5,38,8,4.5,7,
27.04.20,41,39.5,9,5,5.5,
26.04.20,41.5,36.5,12,6,4,
25.04.20,42,37.5,9,4.5,7,
24.04.20,43.5,36.5,10,5.5,4.5,
23.04.20,40.5,37.5,11.5,7.5,3,
22.04.20,46.5,34,9,6.5,4,
21.04.20,44.5,35,9,5.5,6,
20.04.20,44,36,10,5.5,4.5,
19.04.20,44,35,10.5,5.5,5,
18.04.20,45,35,9.5,4,6.5,
17.04.20,52,32,7.5,3.5,5,
16.04.20,45,35,10.5,4,5.5,
15.04.20,43,37,11,4,5,
14.04.20,44.5,36.5,9,5,5,
13.04.20,45.5,34,10,5,5.5,
12.04.20,45,36,10.5,5,3.5,
11.04.20,47.5,35.5,8,4,5,
10.04.20,43,36.5,11.5,3.5,5.5,
09.04.20,47,35,11,4,3,
08.04.20,40,39,11,4,6,
07.04.20,47.5,34,9.5,5,4,
06.04.20,44.6,34.5,11.8,4,5.1,
05.04.20,47,35.2,10.2,4.3,3.5,
04.04.20,48.4,32.9,11.9,3.5,3.2,
